role,packet,sample_id,official_split,relation,channel,confidence,original_label,caption,original_caption,camc_reg_votes,clip_fusion_votes,text_only_votes
vc_miss,formal_seed43,257,semantics_clip_text_image,C,visible_conflict,high,falsified,Gylfi Sigurdsson scores his first from the spot in Iceland s Euro 2016 Group A win over Holland,Blackpool s Charlie Adam strikes to score the winning goal for his side against Bolton Wanderers in their Premier League match,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,91,semantics_clip_text_text,C,visible_conflict,high,falsified,Real Madrid s Rafael van der Vaart centre celebrates scoring the winning goal against Sevilla,Wayne Rooney celebrates scoring for Manchester United against Sunderland,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,7,person_sbert_text_text,C,visible_conflict,medium,falsified,Amir Khan delivers another blow on the way to beating Devon Alexander on Saturday,Amir Khan and Danny Garcia face off during their Los Angeles press conference,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,69,semantics_clip_text_text,C,visible_conflict,high,falsified,Steven Gerrard left of Liverpool celebrates with his teammate Luis Suarez after scoring the second goal of the 40 win against Fulham,Mexico s Alan Pulido consoles teammate Javier Hernandez after the Netherlands defeated Mexico 21 during the World Cup round of 16,N/N/N,N/N/N,N/N/N
vc_miss,formal_seed43,318,semantics_clip_text_text,C,visible_conflict,high,falsified,Michal Handzus of the Chicago Blackhawks scores his double overtime game winner against the Los Angeles Kings to claim Game Five of the Western Conference Final,Ottawa Chris Neil checks New York Rangers Dan Girardi into the board as the Senators win again in overtime to tie the series 22,N/N/N,N/N/N,N/N/N
vc_miss,formal_seed43,288,semantics_clip_text_text,C,visible_conflict,medium,falsified,Gandolfini and his wife Deborah Lin attend the premiere of HBO Films Cinema Verite in Hollywood,Producer Julie Chen and President of CBS Leslie Moonves arrive at the Universal Music Group After Party,N/N/N,N/N/N,N/N/N
vc_miss,formal_seed43,252,scene_resnet_place,C,visible_conflict,medium,falsified,The America s Cup defending team Alinghi of Switzerland sails during a training session off the coast of Valencia,Emirates Team New Zealand left leads Oracle Team USA during the 34th America s Cup on Sept 7 2013,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,84,semantics_clip_text_text,C,visible_conflict,high,falsified,Patriots strong safety Steve Gregory celebrates after intercepting a pass against the Jets on Thanksgiving at MetLife Stadium,Philadelphia Eagles running back LeSean McCoy celebrates in the end zone after scoring a touchdown against the Tennessee Titans,N/N/N,N/N/N,N/N/N
vc_miss,formal_seed43,255,person_sbert_text_text,C,visible_conflict,medium,falsified,Eddie Redmayne who beat frontrunner Michael Keaton for the best actor trophy posed with new wife Hannah Bagshawe,Redmayne attends the premiere for Les Miserables in New YorkThe film went on to win three Academy Awards,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,46,scene_resnet_place,C,visible_conflict,high,falsified,Seville SpainChildren dress up for a school procession on the eve of Holy Week in the Andalusian capital,Pilgrims attending the hajj shelter from heavy rains in Mecca Saudi Arabia,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,11,semantics_clip_text_text,C,visible_conflict,high,falsified,Fabian Delph celebrates with Raheem Sterling after scoring his first City goal,Wayne Rooney left congratulates Danny Welbeck on scoring his second goal during England s 31 win at home to Slovenia,N/N/N,N/N/N,N/N/N
vc_miss_clip_catch,formal_seed43,301,semantics_clip_text_text,C,visible_conflict,medium,falsified,Jose Mourinho believes his current crop of players at Chelsea possess big potential but also have lots to learn tactically,And a bit of flag planting Barcelona s head coach Luis Enrique sticks a Catalan and FC Barcelona flag on the pitch as he celebrates Barca s triumph,N/N/N,C/C/C,N/N/N
vc_miss,formal_seed43,242,semantics_clip_text_image,C,visible_conflict,medium,falsified,Britain s Queen Elizabeth II and her husband Prince Philip attend the Braemar Gathering in Scotland this month They are third cousins,Andy and Jamie Murray go into the cathedral,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,42,semantics_clip_text_text,C,visible_conflict,high,falsified,Pope Francis places his hands on a plaque at the Memorial to Victims of Terror in Jerusalem,Mr Putin inaugurated a World War II monument in Netanya with Shimon Peres,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,71,semantics_clip_text_image,C,visible_conflict,high,falsified,Former Florida governor Jeb Bush speaks at a luncheon hosted by the Chicago Council on Global Affairs on Feb 18 2015,Virginia Gov Bob McDonnell right during a news conference in Richmond Va on Jan 8,N/N/N,N/N/N,N/N/N
vc_miss_clip_catch,pilot_seed42,72,semantics_clip_text_text,C,visible_conflict,high,falsified,Ishmael Beah author of A Long Way Gone talks to a group of children including former soldiers like himself at a school in the South Sudanese town of Pibor,New post Marlon James poses for photographers after winning the Man Booker prize,N/N/N,C/C/C,N/N/N
vc_miss,formal_seed43,231,semantics_clip_text_text,C,visible_conflict,high,falsified,Australian coach Darren Lehmann speaks with Shane Watson during the training session at the MCG,Brisbane Broncos coach Wayne Bennett talks to his players during training on Thursday,N/N/N,N/N/N,N/N/N
