experiment,model,seed,params_M,val_macro_f1,best_epoch,val_contra_recall,corrected_test_f1,corrected_test_contra_recall,original_test_f1,probe_c_rate_falsified,probe_c_rate_pristine,probe_e_rate_falsified,probe_e_rate_pristine,zs500_relation_f1,fsr500,c500_falsified,c500_pristine,c500_precision,visible_catch
camc_seed42,camc,42,45.5,0.693774,4,0.719313,0.6999269295843508,0.6827477713686418,0.691981832059139,0.18061674008810572,0.16547356828193832,0.007158590308370044,0.007158590308370044,0.2409890784800662,0.012711864406779662,38,54,0.41304347826086957,0.12244897959183673
camc_reg_seed42,camc_reg,42,45.5,0.702345,4,0.69574,0.70375014510535,0.6628211851074987,0.6965680843276697,0.21090308370044053,0.1883259911894273,0.011288546255506607,0.012665198237885462,0.278098702039652,0.00423728813559322,44,50,0.46808510638297873,0.20408163265306123
camc_reg_seed43,camc_reg,43,45.5,0.699083,4,0.710221,0.7095255732550214,0.682572976752316,0.7014048089105019,0.24862334801762115,0.2282488986784141,0.009361233480176211,0.012114537444933921,0.2769007522816665,0.00847457627118644,50,55,0.47619047619047616,0.22448979591836735
camc_reg_seed44,camc_reg,44,45.5,0.699235,4,0.708032,0.7013607530625469,0.6687642020625765,0.6997122979644234,0.20044052863436124,0.18584801762114536,0.004680616740088106,0.006057268722466961,0.2846451452825038,0.00423728813559322,37,44,0.4567901234567901,0.17346938775510204
text_only_seed42,text_only,42,0.6,0.630309,5,0.599428,0.6471376731216703,0.5934277224261493,0.6358820986918033,0.24972466960352424,0.24972466960352424,0.0052312775330396475,0.0052312775330396475,0.2693133424539677,0.00847457627118644,51,70,0.4214876033057851,0.19387755102040816
text_only_seed43,text_only,43,0.6,0.626979,5,0.641522,0.6466805612501977,0.6296102080055934,0.6331758664978141,0.29570484581497797,0.29570484581497797,0.009361233480176211,0.009361233480176211,0.2645654998596175,0.00847457627118644,60,76,0.4411764705882353,0.21428571428571427
text_only_seed44,text_only,44,0.6,0.628035,5,0.584779,0.6457270097347676,0.5748994930956126,0.6323431057243514,0.26954845814977973,0.26954845814977973,0.010462555066079295,0.010462555066079295,0.2750249364347213,0.00847457627118644,54,71,0.432,0.20408163265306123
late_fusion_seed42,late_fusion,42,3.0,0.648085,4,0.640007,0.6589334916709251,0.633805278797413,0.6514212834063328,0.21007709251101322,0.1949339207048458,0.004129955947136564,0.006607929515418502,0.2626464042216784,0.00423728813559322,41,59,0.41,0.16326530612244897
late_fusion_seed43,late_fusion,43,3.0,0.649673,5,0.594039,0.6626034981856904,0.5880090893200489,0.655272919553289,0.1987885462555066,0.1855726872246696,0.02064977973568282,0.01817180616740088,0.25717049712837675,0.01694915254237288,38,56,0.40425531914893614,0.12244897959183673
late_fusion_seed44,late_fusion,44,3.0,0.649293,3,0.616097,0.656594583090896,0.6009438909281594,0.650284760840686,0.2084251101321586,0.19768722466960353,0.021475770925110133,0.02064977973568282,0.2837231221772587,0.01694915254237288,46,53,0.46464646464646464,0.20408163265306123
clip_fusion_seed42,clip_fusion,42,1.6,0.688349,5,0.727564,0.7012173465128139,0.7126376507603566,0.683660153183015,0.22191629955947137,0.05148678414096916,0.023127753303964757,0.05011013215859031,0.30118216790970875,0.029661016949152543,45,12,0.7894736842105263,0.20408163265306123
clip_fusion_seed43,clip_fusion,43,1.6,0.687965,5,0.704832,0.6985613533468693,0.6911379129522811,0.6839806587716227,0.20099118942731278,0.04515418502202643,0.021751101321585902,0.04129955947136564,0.2995311242972604,0.025423728813559324,42,11,0.7924528301886793,0.19387755102040816
clip_fusion_seed44,clip_fusion,44,1.6,0.684736,3,0.700623,0.694326851214,0.6897395560216746,0.6806018277631866,0.3125,0.0900330396475771,0.008259911894273128,0.023127753303964757,0.31335994185231,0.00847457627118644,69,20,0.7752808988764045,0.29591836734693877
image_only_seed42,image_only,42,0.6,0.275853,5,0.186395,0.28576573205538885,0.19681873798287014,0.2777087495554923,0.10462555066079295,0.10104625550660792,0.822136563876652,0.8210352422907489,0.2321018651362984,0.8177966101694916,28,27,0.509090909090909,0.09183673469387756
